

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

027.093  000.980  000.980: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-polyglot/syntax/sh.vim
028.990  001.869  001.869: sourcing /usr/share/nvim/runtime/syntax/sh.vim
043.539  014.407  014.407: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-css-color/autoload/css_color.vim
043.784  014.736  000.330: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-css-color/after/syntax/sh.vim
044.060  038.791  003.769: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
044.234  000.009  000.009: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-polyglot/filetype.vim
044.276  000.023  000.023: sourcing /usr/share/nvim/runtime/filetype.lua
044.289  000.007  000.007: sourcing /usr/share/nvim/runtime/filetype.vim
044.406  000.005  000.005: sourcing /usr/share/nvim/runtime/indent.vim
044.552  000.004  000.004: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-polyglot/filetype.vim
044.576  000.009  000.009: sourcing /usr/share/nvim/runtime/filetype.lua
044.587  000.005  000.005: sourcing /usr/share/nvim/runtime/filetype.vim
044.702  000.005  000.005: sourcing /usr/share/nvim/runtime/ftplugin.vim
044.796  000.004  000.004: sourcing /usr/share/nvim/runtime/indent.vim
207.245  204.048  165.185: sourcing /home/lionelstefan/.config/nvim/init.lua
207.253  000.652: sourcing vimrc file(s)
208.359  000.714  000.714: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-polyglot/plugin/polyglot.vim
208.691  000.236  000.236: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
208.703  000.006  000.006: sourcing /usr/share/nvim/runtime/plugin/health.vim
208.773  000.066  000.066: sourcing /usr/share/nvim/runtime/plugin/man.vim
209.043  000.153  000.153: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
209.082  000.303  000.150: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
209.224  000.137  000.137: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
209.587  000.356  000.356: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
209.698  000.005  000.005: sourcing /home/lionelstefan/.local/share/nvim/rplugin.vim
209.701  000.102  000.097: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
209.797  000.088  000.088: sourcing /usr/share/nvim/runtime/plugin/shada.vim
209.820  000.014  000.014: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
209.934  000.108  000.108: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
210.009  000.061  000.061: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
210.029  000.012  000.012: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
210.169  000.133  000.133: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
210.393  000.185  000.185: sourcing /home/lionelstefan/.config/nvim/plugin/packer_compiled.lua
210.489  000.716: loading rtp plugins
210.891  000.206  000.206: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
211.244  000.307  000.307: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/auto-pairs/plugin/auto-pairs.vim
212.344  000.955  000.955: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/plugin/indent_blankline.vim
214.183  001.788  001.788: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nerdcommenter/plugin/nerdcommenter.vim
214.844  000.596  000.596: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
214.940  000.052  000.052: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.vim
215.446  000.461  000.461: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.vim
215.801  000.305  000.305: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
215.941  000.075  000.075: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-ts-rainbow/plugin/rainbow.vim
216.011  000.025  000.025: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
216.100  000.028  000.028: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
216.294  000.123  000.123: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.vim
216.350  000.014  000.014: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/tmuxline.vim/plugin/tmuxline.vim
216.709  000.100  000.100: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/init.vim
217.124  000.086  000.086: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/parts.vim
217.321  000.010  000.010: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/formatter/short_path.vim
218.368  000.149  000.149: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/util.vim
218.430  002.042  001.697: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/plugin/airline.vim
218.507  000.025  000.025: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline-themes/plugin/airline-themes.vim
219.329  000.137  000.137: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline.vim
220.938  002.375  002.237: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-devicons/plugin/webdevicons.vim
222.133  001.135  001.135: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
222.392  000.199  000.199: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-gutentags/plugin/gutentags.vim
222.538  000.099  000.099: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-polyglot/plugin/polyglot.vim
222.751  000.170  000.170: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-signify/plugin/signify.vim
222.901  000.105  000.105: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-smoothie/plugin/smoothie.vim
223.266  000.321  000.321: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-surround/plugin/surround.vim
223.332  001.435: loading packages
223.728  000.266  000.266: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
223.870  000.110  000.110: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/cmp-cmdline/after/plugin/cmp_cmdline.lua
223.978  000.076  000.076: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
224.144  000.134  000.134: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
224.338  000.163  000.163: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
224.357  000.278: loading after plugins
224.364  000.007: inits 3
225.071  000.707: reading ShaDa
226.235  000.267  000.267: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions.vim
226.378  000.037  000.037: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/quickfix.vim
226.553  000.022  000.022: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/netrw.vim
226.833  000.045  000.045: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/section.vim
227.148  000.167  000.167: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/highlighter.vim
227.416  000.743  000.531: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/term.vim
227.656  000.079  000.079: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/hunks.vim
227.994  000.178  000.178: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/branch.vim
228.173  000.041  000.041: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/fugitiveline.vim
228.376  000.036  000.036: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/nvimlsp.vim
228.604  000.098  000.098: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/whitespace.vim
228.857  000.054  000.054: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/po.vim
229.036  000.067  000.067: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/wordcount.vim
229.273  000.131  000.131: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline.vim
229.416  000.034  000.034: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/autoshow.vim
229.680  000.070  000.070: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/tabs.vim
229.956  000.129  000.129: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/buffers.vim
230.150  000.024  000.024: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tmuxline.vim
230.282  000.014  000.014: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/gutentags.vim
230.424  000.019  000.019: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/keymap.vim
230.677  000.028  000.028: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/searchcount.vim
235.402  000.045  000.045: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/themes.vim
236.999  001.755  001.711: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/awesome-vim-colorschemes/autoload/airline/themes/gruvbox.vim
241.635  001.544  001.544: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/awesome-vim-colorschemes/autoload/airline/themes/gruvbox.vim
256.798  000.016  000.016: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/tmuxline.vim/autoload/tmuxline/api.vim
256.987  000.113  000.113: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/tmuxline.vim/autoload/tmuxline/util.vim
257.289  000.118  000.118: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/tmuxline.vim/autoload/tmuxline.vim
257.403  000.016  000.016: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/tmuxline.vim/autoload/tmuxline/presets/powerline.vim
257.555  000.051  000.051: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/tmuxline.vim/autoload/tmuxline/builder.vim
261.777  000.150  000.150: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/builder.vim
262.183  000.060  000.060: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/default.vim
282.110  051.143: opening buffers
295.471  012.727  012.727: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-polyglot/autoload/polyglot/sleuth.vim
298.914  004.076: BufEnter autocommands
298.920  000.006: editing files in windows
305.397  006.426  006.426: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/awesome-vim-colorschemes/colors/gruvbox.vim
338.887  000.376  000.376: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-gutentags/autoload/gutentags.vim
338.908  033.186: VimEnter autocommands
338.910  000.002: UIEnter autocommands
703.726  364.716  364.716: sourcing /usr/share/nvim/runtime/autoload/provider/clipboard.vim
703.745  000.119: before starting main loop
704.458  000.112  000.112: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/ctrlspace.vim
704.655  000.085  000.085: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/tabws.vim
705.104  000.121  000.121: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/builder.vim
705.307  000.049  000.049: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/buflist.vim
708.115  000.017  000.017: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-devicons/autoload/airline/extensions/tabline/formatters/webdevicons.vim
708.352  000.035  000.035: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/formatters/unique_tail.vim
708.532  000.057  000.057: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/extensions/tabline/formatters/default.vim
712.727  000.105  000.105: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-signify/autoload/sy.vim
718.758  005.497  005.497: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-fugitive/autoload/fugitive.vim
743.585  033.762: first screen update
743.593  000.008: --- NVIM STARTED ---
